time, .header.id, .header.msg_type, .header.port_addr, .header.length, .header.sequence, .header.idle_time, .header.time_status, .header.gps_week, .header.gps_week_seconds, .header.receiver_status, .header.reserved, .header.software_version, .ins_status, .position_type, .latitude, .longitude, .altitude, .undulation, .north_velocity, .east_velocity, .up_velocity, .roll, .pitch, .azimuth, .latitude_std, .longitude_std, .altitude_std, .north_velocity_std, .east_velocity_std, .up_velocity_std, .roll_std, .pitch_std, .azimuth_std, .extended_status, .seconds_since_update
1.63715E+18,1465,0,160,126,0,63,180,2183,269656500,33554432,18205,15990,3,56,40.00671436,116.328223,50.37691508,-9.699999809,-0.000297368,0.003144749,-0.000101933,-0.583129838,1.483978585,180.8129079,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656520,33554432,18205,15990,3,56,40.00671436,116.328223,50.37688924,-9.699999809,0.000856489,0.001866678,-0.000472148,-0.584462672,1.483945369,180.8141489,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656540,33554432,18205,15990,3,56,40.00671436,116.328223,50.37689885,-9.699999809,-0.000677864,0.002703138,0.000293521,-0.583586466,1.483638846,180.8134876,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656560,33554432,18205,15990,3,56,40.00671436,116.328223,50.37688104,-9.699999809,-0.000552089,-9.93E-05,-8.38E-05,-0.584385296,1.482990918,180.8143405,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656580,33554432,18205,15990,3,56,40.00671436,116.328223,50.37688423,-9.699999809,-0.000108791,0.003657453,-0.000250188,-0.584135186,1.482195645,180.8133767,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656600,33554432,18205,15990,3,56,40.00671436,116.328223,50.37685474,-9.699999809,0.000951401,-0.001660055,-0.000878189,-0.585328598,1.482443147,180.8135324,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656620,33554432,18205,15990,3,56,40.00671436,116.328223,50.37686115,-9.699999809,-0.000282047,0.002886913,5.45E-05,-0.583399076,1.481702842,180.8128766,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656640,33554432,18205,15990,3,56,40.00671436,116.328223,50.37681664,-9.699999809,0.001018033,-0.000142188,-0.001938084,-0.585685043,1.482717612,180.8123716,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656660,33554432,18205,15990,3,56,40.00671436,116.328223,50.37681922,-9.699999809,0.000523763,0.000886202,-0.000237213,-0.581888999,1.482377971,180.8123467,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656680,33554432,18205,15990,3,56,40.00671436,116.328223,50.37676134,-9.699999809,0.002399564,0.001605082,-0.002879785,-0.582517116,1.482901943,180.8125907,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656700,33554432,18205,15990,3,56,40.00671436,116.328223,50.37676299,-9.699999809,0.00124827,0.001252814,-0.000363729,-0.581734395,1.481849394,180.8123685,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656720,33554432,18205,15990,3,56,40.00671436,116.328223,50.37672046,-9.699999809,0.002368211,0.000986134,-0.001807028,-0.582080254,1.482627971,180.8129574,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656740,33554432,18205,15990,3,56,40.00671436,116.328223,50.3767219,-9.699999809,0.001027546,0.004402112,-0.00017548,-0.581150912,1.484250025,180.8123685,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656760,33554432,18205,15990,3,56,40.00671436,116.328223,50.37667474,-9.699999809,0.001791263,0.001827228,-0.002157821,-0.583315471,1.484241607,180.8128362,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656780,33554432,18205,15990,3,56,40.00671436,116.328223,50.37667443,-9.699999809,0.001701839,0.004265647,-0.000572436,-0.58136229,1.482868244,180.8123379,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656800,33554432,18205,15990,3,56,40.00671436,116.328223,50.37661484,-9.699999809,0.001730984,0.003845018,-0.00287686,-0.584269074,1.485012277,180.8134011,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656820,33554432,18205,15990,3,56,40.00671436,116.328223,50.3766306,-9.699999809,-0.001085188,0.0025471,0.000230125,-0.583799938,1.484836099,180.8126123,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656840,33554432,18205,15990,3,56,40.00671436,116.328223,50.37657605,-9.699999809,0.002049646,0.003523434,-0.002826537,-0.584163327,1.483793359,180.8133327,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656860,33554432,18205,15990,3,56,40.00671436,116.328223,50.37658369,-9.699999809,0.000567443,0.002309084,-0.000347042,-0.583702716,1.484083859,180.8131523,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656880,33554432,18205,15990,3,56,40.00671436,116.328223,50.37653377,-9.699999809,7.27E-05,0.000480636,-0.002548795,-0.58422625,1.482706869,180.813184,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656900,33554432,18205,15990,3,56,40.00671436,116.328223,50.37653288,-9.699999809,0.000279597,0.00304126,-0.001010061,-0.583195198,1.483838398,180.8120955,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656920,33554432,18205,15990,3,56,40.00671436,116.328223,50.37648492,-9.699999809,0.001242744,-0.000746234,-0.002339776,-0.585360128,1.483233166,180.8123157,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656940,33554432,18205,15990,3,56,40.00671436,116.328223,50.3764882,-9.699999809,0.001661964,0.002804736,-0.001039076,-0.58380282,1.482613661,180.8121821,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656960,33554432,18205,15990,3,56,40.00671436,116.328223,50.37643393,-9.699999809,0.001092236,0.000333353,-0.002600804,-0.584958183,1.484179466,180.8118012,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269656980,33554432,18205,15990,3,56,40.00671436,116.328223,50.3764385,-9.699999809,0.000918396,0.001402883,-0.001080261,-0.582684677,1.482837212,180.8118746,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269657000,33554432,18205,15990,3,56,40.00671436,116.328223,50.37637846,-9.699999809,0.003225274,0.000590034,-0.003150081,-0.583986887,1.482454671,180.8117349,0.017117577,0.017018331,0.017786896,0.001275273,0.001275272,0.001123965,0.012800231,0.012852793,0.129183933,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269657020,33554432,18205,15990,3,56,40.00671437,116.328223,50.37638107,-9.699999809,0.00101003,0.002660287,-0.001087857,-0.583885107,1.482520355,180.8120698,0.019490965,0.019403499,0.020086588,0.008829113,0.008829107,0.008553091,0.014878963,0.014924443,0.129576087,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269657040,33554432,18205,15990,3,56,40.00671437,116.328223,50.37634126,-9.699999809,0.001175209,-0.001988953,-0.002586498,-0.584093205,1.483479545,180.8113619,0.01663135,0.016534997,0.017274305,0.001275065,0.001275061,0.001120758,0.01279998,0.012852553,0.125390366,251658309,0
1.63715E+18,1465,0,160,126,0,63,180,2183,269657060,33554432,18205,15990,3,56,40.00671436,116.328223,50.37634099,-9.699999809,0.001404807,0.004332716,-0.002223177,-0.584362816,1.482437719,180.8109277,0.01663135,0.016534997,0.017274305,0.001275065,0.001275061,0.001120758,0.01279998,0.012852553,0.125390366,251658309,0
1.63715E+18,1465,0,160,126,0,70,180,2183,269657080,33554432,18205,15990,3,56,40.00671436,116.328223,50.37630035,-9.699999809,0.002199837,-0.003226286,-0.002267018,-0.586278947,1.484126564,180.8107923,0.01663135,0.016534997,0.017274305,0.001275065,0.001275061,0.001120758,0.01279998,0.012852553,0.125390366,251658309,0
1.63715E+18,1465,0,160,126,0,70,180,2183,269657100,33554432,18205,15990,3,56,40.00671436,116.328223,50.37630116,-9.699999809,0.001572948,0.003860233,-0.002352507,-0.584087838,1.482854961,180.8110398,0.01663135,0.016534997,0.017274305,0.001275065,0.001275061,0.001120758,0.01279998,0.012852553,0.125390366,251658309,0
1.63715E+18,1465,0,160,126,0,70,180,2183,269657120,33554432,18205,15990,3,56,40.00671436,116.328223,50.37626963,-9.699999809,0.001376818,-0.001826971,-0.001624179,-0.586740287,1.483678391,180.8102626,0.01663135,0.016534997,0.017274305,0.001275065,0.001275061,0.001120758,0.01279998,0.012852553,0.125390366,251658309,0
1.63715E+18,1465,0,160,126,0,70,180,2183,269657140,33554432,18205,15990,3,56,40.00671436,116.328223,50.37625927,-9.699999809,0.000458196,0.001133467,-0.003017604,-0.584271703,1.482553114,180.8100643,0.01663135,0.016534997,0.017274305,0.001275065,0.001275061,0.001120758,0.01279998,0.012852553,0.125390366,251658309,0
1.63715E+18,1465,0,160,126,0,70,180,2183,269657160,33554432,18205,15990,3,56,40.00671436,116.328223,50.37623421,-9.699999809,0.001202941,-0.000804342,-0.001193502,-0.58503262,1.483458686,180.8094616,0.01663135,0.016534997,0.017274305,0.001275065,0.001275061,0.001120758,0.01279998,0.012852553,0.125390366,251658309,0
1.63715E+18,1465,0,160,126,0,70,180,2183,269657180,33554432,18205,15990,3,56,40.00671436,116.328223,50.37622291,-9.699999809,0.000676211,0.000645938,-0.002872958,-0.584569683,1.480764661,180.8090225,0.01663135,0.016534997,0.017274305,0.001275065,0.001275061,0.001120758,0.01279998,0.012852553,0.125390366,251658309,0
