time, .header.seq, .header.stamp.secs, .header.stamp.nsecs, .header.frame_id, .orientation.x, .orientation.y, .orientation.z, .orientation.w, .orientation_covariance, .angular_velocity.x, .angular_velocity.y, .angular_velocity.z, .angular_velocity_covariance, .linear_acceleration.x, .linear_acceleration.y, .linear_acceleration.z, .linear_acceleration_covariance
1637149726269311201, 20300, 1636513559, 680094957, base_link, -0.00810948854523, 0.00734448896195, -0.0266745754706, -0.999584294445, "(0.00018325629268276314, 0.0, 0.0, 0.0, 0.0001827315153806958, 0.0, 0.0, 0.0, 0.0035168039016831992)", -0.00178791573774, 0.000777438796211, 0.00018381009841, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", 0.0637038613334, -0.0738678624052, 0.10615401693, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149726278560481, 20301, 1636513559, 699734926, base_link, -0.00813426088598, 0.00735057771788, -0.0266749060831, -0.999584039585, "(0.00018325629268276314, 0.0, 0.0, 0.0, 0.0001827315153806958, 0.0, 0.0, 0.0, 0.0035168039016831992)", 0.00144775093157, 3.28832306381e-05, -8.48626523524e-05, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", 0.0772502276055, -0.0633329647714, -0.0265955498735, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149726297822619, 20302, 1636513559, 719064950, base_link, -0.00812131265358, 0.00735690746065, -0.0266806738268, -0.999583944368, "(0.00018325629268276314, 0.0, 0.0, 0.0, 0.0001827315153806958, 0.0, 0.0, 0.0, 0.0035168039016831992)", -0.000582913664811, -0.000530255009872, 0.00115109865725, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", -0.161096785776, 0.0188730280806, -0.0870352776201, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149726318590111, 20303, 1636513559, 740020990, base_link, -0.00813221753438, 0.00735507381127, -0.0266819760995, -0.999583834442, "(0.00018325629268276314, 0.0, 0.0, 0.0, 0.0001827315153806958, 0.0, 0.0, 0.0, 0.0035168039016831992)", 0.00140778538575, -0.000685173164629, 0.000154411061237, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", 0.273136232204, -0.0271100921864, 0.230288622529, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149726337629246, 20304, 1636513559, 759037017, base_link, -0.0081281972481, 0.00736246454652, -0.0266888304021, -0.999583629746, "(0.00018325629268276314, 0.0, 0.0, 0.0, 0.0001827315153806958, 0.0, 0.0, 0.0, 0.0035168039016831992)", -0.000614247038453, 0.000147132828533, 0.00123792314536, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", -0.286188464842, -0.0502552368561, -0.252199080266, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149726367296978, 20305, 1636513559, 780080080, base_link, -0.00813441933342, 0.00735245094034, -0.0266946225075, -0.999583498171, "(0.00018325629268276314, 0.0, 0.0, 0.0, 0.0001827315153806958, 0.0, 0.0, 0.0, 0.0035168039016831992)", 0.00176341142262, 2.47239879183e-05, 0.000658851150711, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", 0.276634026248, 0.0255374112645, 0.33691797185, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149726378428699, 20306, 1636513559, 799829959, base_link, -0.00814348736737, 0.00735409954115, -0.0266875401745, -0.999583601323, "(0.00018325629268276314, 0.0, 0.0, 0.0, 0.0001827315153806958, 0.0, 0.0, 0.0, 0.0035168039016831992)", 0.000686724001486, 0.000955243025963, -2.64252206689e-05, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", -0.160457893118, -0.0587364044072, -0.257689282936, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149726397298982, 20307, 1636513559, 818763017, base_link, -0.00812091412596, 0.00734961647267, -0.0266948598131, -0.99958362249, "(0.00018325629268276314, 0.0, 0.0, 0.0, 0.0001827315153806958, 0.0, 0.0, 0.0, 0.0035168039016831992)", -0.000547013875931, 0.000278216824681, 0.000298106131235, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", 0.113715957339, -0.0675054415695, 0.199898317451, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149726417384233, 20308, 1636513559, 838823080, base_link, -0.00813938108704, 0.00735328787939, -0.0266925757623, -0.999583506283, "(0.00018325629268276314, 0.0, 0.0, 0.0, 0.0001827315153806958, 0.0, 0.0, 0.0, 0.0035168039016831992)", 0.000587926839567, 0.000272733591259, 0.000146910080164, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", 0.000178881563767, 0.021597167075, -0.129109556522, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149726439124413, 20309, 1636513559, 860387086, base_link, -0.00811342644057, 0.00734960519819, -0.0267055176763, -0.999583398692, "(0.00018325629268276314, 0.0, 0.0, 0.0, 0.0001827315153806958, 0.0, 0.0, 0.0, 0.0035168039016831992)", -0.00147055356855, 0.000315822438789, 0.00127412752165, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", -0.0607662402373, 0.0501864577007, 0.0410924197341, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
