time , .header.id , .header.msg_type , .header.port_addr , .header.length , .header.sequence , .header.idle_time , .header.time_status , .header.gps_week , .header.gps_week_seconds , .header.receiver_status , .header.reserved , .header.software_version , .ins_status , .position_type , .latitude , .longitude , .altitude , .undulation , .north_velocity , .east_velocity , .up_velocity , .roll , .pitch , .azimuth , .latitude_std , .longitude_std , .altitude_std , .north_velocity_std , .east_velocity_std , .up_velocity_std , .roll_std , .pitch_std , .azimuth_std , .extended_status , .seconds_since_update
1605412501908669949 , 1465 , 0 , 160 , 126 , 0 , 91 , 180 , 2130 , 378183280 , 33554432 , 18205 , 15990 , 3 , 53 , 40.0067617027 , 116.328199796 , 52.0608696388 , -9.69999980927 , 1.23140944539 , 0.321275660583 , 0.0268615151694 , -0.602993472939 , 1.23784143593 , 14.666512401 , 0.528386831284 , 0.492392778397 , 1.05502355099 , 0.0313912332058 , 0.0258361864835 , 0.0333590134978 , 0.0501354038715 , 0.0528089143336 , 0.0765591189265 , 251660754 , 0
1605412501945228032 , 1465 , 0 , 160 , 126 , 0 , 91 , 180 , 2130 , 378183300 , 33554432 , 18205 , 15990 , 3 , 53 , 40.0067619251 , 116.328199872 , 52.0613523778 , -9.69999980927 , 1.2336311528 , 0.329328528492 , 0.0277494822598 , -0.59828850856 , 1.2361555068 , 14.6521356037 , 0.528386831284 , 0.492392778397 , 1.05502355099 , 0.0313912332058 , 0.0258361864835 , 0.0333590134978 , 0.0501354038715 , 0.0528089143336 , 0.0765591189265 , 251660754 , 0
1605412501983962209 , 1465 , 0 , 160 , 126 , 0 , 91 , 180 , 2130 , 378183320 , 33554432 , 18205 , 15990 , 3 , 53 , 40.0067621477 , 116.328199948 , 52.0618306035 , -9.69999980927 , 1.23545405428 , 0.316780423514 , 0.0299458849236 , -0.59117892033 , 1.23300863118 , 14.6358793426 , 0.528386831284 , 0.492392778397 , 1.05502355099 , 0.0313912332058 , 0.0258361864835 , 0.0333590134978 , 0.0501354038715 , 0.0528089143336 , 0.0765591189265 , 251660754 , 0
1605412502022310863 , 1465 , 0 , 160 , 126 , 0 , 91 , 180 , 2130 , 378183340 , 33554432 , 18205 , 15990 , 3 , 53 , 40.0067623708 , 116.328200024 , 52.0623274446 , -9.69999980927 , 1.23948853932 , 0.324574702644 , 0.0275320409229 , -0.588994461974 , 1.22808139839 , 14.6211791781 , 0.528386831284 , 0.492392778397 , 1.05502355099 , 0.0313912332058 , 0.0258361864835 , 0.0333590134978 , 0.0501354038715 , 0.0528089143336 , 0.0765591189265 , 251660754 , 0
1605412502060570858 , 1465 , 0 , 160 , 126 , 0 , 91 , 180 , 2130 , 378183360 , 33554432 , 18205 , 15990 , 3 , 53 , 40.0067625948 , 116.328200097 , 52.0628972389 , -9.69999980927 , 1.24191012604 , 0.309889862189 , 0.0336670769995 , -0.589416885654 , 1.22525756634 , 14.6068376778 , 0.528386831284 , 0.492392778397 , 1.05502355099 , 0.0313912332058 , 0.0258361864835 , 0.0333590134978 , 0.0501354038715 , 0.0528089143336 , 0.0765591189265 , 251660754 , 0
1605412502106057927 , 1465 , 0 , 160 , 126 , 0 , 91 , 180 , 2130 , 378183380 , 33554432 , 18205 , 15990 , 3 , 53 , 40.0067628186 , 116.328200171 , 52.0633687889 , -9.69999980927 , 1.2414004419 , 0.315476203043 , 0.0254296167089 , -0.592286256223 , 1.22261466745 , 14.5917079913 , 0.528386831284 , 0.492392778397 , 1.05502355099 , 0.0313912332058 , 0.0258361864835 , 0.0333590134978 , 0.0501354038715 , 0.0528089143336 , 0.0765591189265 , 251660754 , 0
1605412502143207481 , 1465 , 0 , 160 , 126 , 0 , 91 , 180 , 2130 , 378183400 , 33554432 , 18205 , 15990 , 3 , 53 , 40.0067630431 , 116.328200243 , 52.0639018854 , -9.69999980927 , 1.24478671421 , 0.306458591119 , 0.029425258694 , -0.597421748625 , 1.22401376308 , 14.5785857785 , 0.528386831284 , 0.492392778397 , 1.05502355099 , 0.0313912332058 , 0.0258361864835 , 0.0333590134978 , 0.0501354038715 , 0.0528089143336 , 0.0765591189265 , 251660754 , 0
1605412502182401170 , 1465 , 0 , 160 , 126 , 0 , 91 , 180 , 2130 , 378183420 , 33554432 , 18205 , 15990 , 3 , 53 , 40.0067632673 , 116.328200315 , 52.0643418292 , -9.69999980927 , 1.2433230456 , 0.307307659832 , 0.0242576409249 , -0.601326722467 , 1.22371914533 , 14.5625055024 , 0.528386831284 , 0.492392778397 , 1.05502355099 , 0.0313912332058 , 0.0258361864835 , 0.0333590134978 , 0.0501354038715 , 0.0528089143336 , 0.0765591189265 , 251660754 , 0
1605412502220669147 , 1465 , 0 , 160 , 126 , 0 , 91 , 180 , 2130 , 378183440 , 33554432 , 18205 , 15990 , 3 , 53 , 40.0067634927 , 116.328200386 , 52.0647846051 , -9.69999980927 , 1.25236861186 , 0.301827847958 , 0.0235287691545 , -0.61271776685 , 1.22521398528 , 14.5461071764 , 0.528386831284 , 0.492392778397 , 1.05502355099 , 0.0313912332058 , 0.0258361864835 , 0.0333590134978 , 0.0501354038715 , 0.0528089143336 , 0.0765591189265 , 251660754 , 0
1605412502261814244 , 1465 , 0 , 160 , 126 , 0 , 91 , 180 , 2130 , 378183460 , 33554432 , 18205 , 15990 , 3 , 53 , 40.0067637189 , 116.328200456 , 52.0652181823 , -9.69999980927 , 1.2565632773 , 0.295313045318 , 0.0252325543498 , -0.624953517592 , 1.22708135516 , 14.5287292953 , 0.528386831284 , 0.492392778397 , 1.05502355099 , 0.0313912332058 , 0.0258361864835 , 0.0333590134978 , 0.0501354038715 , 0.0528089143336 , 0.0765591189265 , 251660754 , 0
