time, .header.seq, .header.stamp.secs, .header.stamp.nsecs, .header.frame_id, .orientation.x, .orientation.y, .orientation.z, .orientation.w, .orientation_covariance, .angular_velocity.x, .angular_velocity.y, .angular_velocity.z, .angular_velocity_covariance, .linear_acceleration.x, .linear_acceleration.y, .linear_acceleration.z, .linear_acceleration_covariance
1637149564074620363, 16536, 1636513397, 699467897, base_link, 0.00252064457455, -0.0173085644155, -0.699085146262, 0.714824466722, "(0.0018046297884560941, 0.0, 0.0, 0.0, 0.0018015331413767793, 0.0, 0.0, 0.0, 0.04534038165427767)", 0.00380030929272, -0.00459920281031, -0.00333372531771, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", -0.515870296953, 1.10372231386, 0.0437409641309, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149564091804943, 16537, 1636513397, 720767974, base_link, 0.00253849011591, -0.017357044349, -0.699086947248, 0.714821466708, "(0.0018046297884560941, 0.0, 0.0, 0.0, 0.0018015331413767793, 0.0, 0.0, 0.0, 0.04534038165427767)", 0.0084819194599, -0.00713690610778, -0.00306377820647, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", 0.375488466515, 1.79359423311, -0.122943025534, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149564110767198, 16538, 1636513397, 739736080, base_link, 0.00252054089596, -0.0173842629491, -0.699111736244, 0.714796624587, "(0.0018046297884560941, 0.0, 0.0, 0.0, 0.0018015331413767793, 0.0, 0.0, 0.0, 0.04534038165427767)", 0.00310825056367, -0.00446988092661, -0.00408754422317, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", -0.0853513084894, 1.25124857558, -0.124338553661, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149564131226154, 16539, 1636513397, 760200023, base_link, 0.00256294670172, -0.0174397353041, -0.69910816173, 0.714798618591, "(0.0018046297884560941, 0.0, 0.0, 0.0, 0.0018015331413767793, 0.0, 0.0, 0.0, 0.04534038165427767)", 0.0114726284183, -0.00494898345645, -0.00194347559765, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", 0.114405453153, 1.76075642795, -0.0946093893749, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149564150482365, 16540, 1636513397, 779304981, base_link, 0.00256656256907, -0.0174986464067, -0.699118641203, 0.714786916258, "(0.0018046297884560941, 0.0, 0.0, 0.0, 0.0018015331413767793, 0.0, 0.0, 0.0, 0.04534038165427767)", 0.0063772239378, -0.00537275308532, -0.00249287677076, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", 0.342059463775, 1.3670151454, -0.367081011161, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149564172775820, 16541, 1636513397, 800411939, base_link, 0.00259685665998, -0.0175527588937, -0.699114200192, 0.714789823711, "(0.0018046297884560941, 0.0, 0.0, 0.0, 0.0018015331413767793, 0.0, 0.0, 0.0, 0.04534038165427767)", 0.0141445390762, -0.0048897138087, -0.000303588774449, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", -0.138507356389, 1.97524635538, 0.122025567894, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149564193067628, 16542, 1636513397, 820509910, base_link, 0.00262886686865, -0.0176150102635, -0.69910766193, 0.714794570141, "(0.0018046297884560941, 0.0, 0.0, 0.0, 0.0018015331413767793, 0.0, 0.0, 0.0, 0.04534038165427767)", 0.00881693102851, -0.00450545517976, 0.000373909368929, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", 0.365864640161, 1.38880019906, -0.391928600415, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149564209733988, 16543, 1636513397, 838928937, base_link, 0.00264774058555, -0.0176737972538, -0.699111973798, 0.714788832071, "(0.0018046297884560941, 0.0, 0.0, 0.0, 0.0018015331413767793, 0.0, 0.0, 0.0, 0.04534038165427767)", 0.0146200905543, -0.00650486937662, -0.000317218357275, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", -0.112752278203, 2.05428848526, 0.289426507669, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149564230766046, 16544, 1636513397, 859915018, base_link, 0.00266589609703, -0.0177294505323, -0.699105624785, 0.714793596065, "(0.0018046297884560941, 0.0, 0.0, 0.0, 0.0018015331413767793, 0.0, 0.0, 0.0, 0.04534038165427767)", 0.00856572482902, -0.00393019432098, 0.00054300172455, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", 0.0534818505099, 1.22067821176, -0.125055936686, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149564251142043, 16545, 1636513397, 880376100, base_link, 0.00265838119987, -0.017764129777, -0.699107629438, 0.714790802378, "(0.0018046297884560941, 0.0, 0.0, 0.0, 0.0018015331413767793, 0.0, 0.0, 0.0, 0.04534038165427767)", 0.00799482870549, -0.00769857649166, -6.72378022959e-05, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", 0.0958205316443, 1.95009278414, 0.488486778285, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
