time, .header.seq, .header.stamp.secs, .header.stamp.nsecs, .header.frame_id, .orientation.x, .orientation.y, .orientation.z, .orientation.w, .orientation_covariance, .angular_velocity.x, .angular_velocity.y, .angular_velocity.z, .angular_velocity_covariance, .linear_acceleration.x, .linear_acceleration.y, .linear_acceleration.z, .linear_acceleration_covariance
1637149413129058159, 14089, 1636513329, 860342025, base_link, 0.00140038020132, -0.0157682611225, -0.689763801317, 0.723861381253, "(0.002000005816430672, 0.0, 0.0, 0.0, 0.0019955367640103194, 0.0, 0.0, 0.0, 0.0222393662890783)", 0.00102442407077, 0.000152032557762, -0.000313262677589, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", -0.0302762253334, -0.0219054923298, 0.180165881634, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149413144934259, 14090, 1636513329, 880646944, base_link, 0.00141658546509, -0.0157820744803, -0.689766358149, 0.723858612283, "(0.002000005816430672, 0.0, 0.0, 0.0, 0.0019955367640103194, 0.0, 0.0, 0.0, 0.0222393662890783)", 0.00234951925324, 0.0012351799996, -0.00126027421373, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", -0.0139644516355, -0.0560616204484, -0.427313675966, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149413163784854, 14091, 1636513329, 899631023, base_link, 0.00144738946186, -0.0157822803747, -0.689771446182, 0.723853698424, "(0.002000005816430672, 0.0, 0.0, 0.0, 0.0019955367640103194, 0.0, 0.0, 0.0, 0.0222393662890783)", 0.00363815167104, 0.00161987217996, -0.000783783413616, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", 0.0773338795284, -0.325975408049, -0.0877541456998, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149413183642734, 14092, 1636513329, 919637918, base_link, 0.00149026316731, -0.015826299911, -0.689770380514, 0.723853665814, "(0.002000005816430672, 0.0, 0.0, 0.0, 0.0019955367640103194, 0.0, 0.0, 0.0, 0.0222393662890783)", 0.0116785200116, 0.00182004660817, -0.000488077781942, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", -0.164656412138, 0.946736372885, 0.0821701010099, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149413205671770, 14093, 1636513329, 941581964, base_link, 0.00147353385299, -0.0157980313634, -0.689775967807, 0.723848993326, "(0.002000005816430672, 0.0, 0.0, 0.0, 0.0019955367640103194, 0.0, 0.0, 0.0, 0.0222393662890783)", -0.00133873959948, 0.00106747155277, -0.00106129785392, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", 0.226737824717, -0.122253527602, -0.0827842214128, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149413224264692, 14094, 1636513329, 959511041, base_link, 0.00151289612105, -0.0158628279696, -0.689773366106, 0.723849974266, "(0.002000005816430672, 0.0, 0.0, 0.0, 0.0019955367640103194, 0.0, 0.0, 0.0, 0.0222393662890783)", 0.00905029379431, -0.00139894481109, 0.000161597103272, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", -0.455892051622, -0.627327916148, 0.104376074866, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149413244833159, 14095, 1636513329, 980736970, base_link, 0.00154155368345, -0.0158742394344, -0.689776612681, 0.723846569884, "(0.002000005816430672, 0.0, 0.0, 0.0, 0.0019955367640103194, 0.0, 0.0, 0.0, 0.0222393662890783)", 0.0048778514703, -0.000427961911019, -0.00106965724021, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", 0.38196873218, 0.140770607588, -0.354272934534, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149413264073967, 14096, 1636513330, 8106, base_link, 0.00158324613174, -0.0159370219555, -0.689775946986, 0.723845734685, "(0.002000005816430672, 0.0, 0.0, 0.0, 0.0019955367640103194, 0.0, 0.0, 0.0, 0.0222393662890783)", 0.012960612993, -0.00140674032121, -0.000302252073504, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", -0.376365798625, 0.383884435575, -0.0102948235162, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149413284440560, 14097, 1636513330, 19905090, base_link, 0.00158621090256, -0.0159579776577, -0.689762119453, 0.723858442965, "(0.002000005816430672, 0.0, 0.0, 0.0, 0.0019955367640103194, 0.0, 0.0, 0.0, 0.0222393662890783)", 0.00634787229551, -0.00187338567249, 0.00147430662827, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", 0.372325902657, 0.564865526047, 0.0968215587892, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
1637149413304171766, 14098, 1636513330, 40100097, base_link, 0.00157918357069, -0.0159594885353, -0.689775180681, 0.723845978798, "(0.002000005816430672, 0.0, 0.0, 0.0, 0.0019955367640103194, 0.0, 0.0, 0.0, 0.0222393662890783)", 0.00162695939925, -0.00231043531199, -0.000490193097877, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)", -0.179260641153, -1.29850912747, 0.112695427217, "(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
